Source Story ID,Epic,Capability,Variant,Priority,Original Release,Original Backlog Item,Original Acceptance Summary,Source Iteration,Current Classification,Mapped Current Stories,Migration Evidence,Implementation Commit Evidence,PR / Merge Evidence,Current Implemented Evidence,Remaining Original Scope,Recommended Next Action,Evidence Confidence,Repository Baseline
E11-01,E11,Payments,CORE,Must,R3,"Create, approve, submit and reconcile payment batches",Payroll control total equals bank accepted/credited/returned outcomes.,Iteration 8,NOT STARTED,None,None,None,None,No payment execution or banking capability is evidenced.,"Payment entitlement/instructions, employer bank and treasury profiles, routing, batches, maker-checker, files/APIs, submission, acknowledgements, returns, retries and bank reconciliation.",Implement only after approved payroll results and settlement boundaries exist.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E12-01,E12,Accounting,CORE,Must,R3,"Generate costing, journals, accruals and ERP reconciliation",Balanced journals; idempotent ERP transfer; drill-back to payroll results.,Iteration 9,NOT STARTED,None,None,None,None,No payroll accounting or GL integration capability is evidenced.,"Accounting events, costing, chart-of-account mapping, journals, accruals, reversals, ERP transfer, drill-back and reconciliation.","Design after calculation, payment and correction event contracts are stable.",HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E13-01,E13,Payslips & ESS,CORE,Should,R3,Generate and publish secure payroll documents,Document snapshot immutable; former-employee access controlled; corrections versioned.,Iteration 10,PARTIALLY IMPLEMENTED,S3-06,Uses calculation evidence through V026; no legal publication aggregate,7fee492bd8899269fe588c9d3ab8202029a8b0b5; d54085b87b6fd7a92b0d3b20a35618ff2f169663,PR #18; merge 73c356662b1888194a72c7006a66bd91443550ca,Persisted-result draft-payslip view clearly marked non-legal and not for payment.,"Immutable published document snapshots, template lifecycle, authenticity, ESS, former-employee access, correction/replacement/revocation and certificates are not implemented.",Keep the draft view separate from the future legal-document lifecycle.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E14-01,E14,Reporting & Communications,CORE,Should,R3,Deliver reconciled reports and employee communications,Report totals reconcile; secure distribution; delivery evidence retained.,Iteration 10,NOT STARTED,None,None,None,None,Operational evidence reads do not constitute the original reporting and communications epic.,"Reconciled operational/statutory/management reports, analytics, secure distribution, employee communications, delivery evidence and report governance.",Define report catalog and reconciliation authorities after core domains stabilize.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E15-01,E15,Audit & Security,CORE,Must,R1-R4,"Implement SoD, audit, encryption, retention and incident controls",Critical actions maker-checker; tamper-evident audit; purpose-based access.,Iteration 11,PARTIALLY IMPLEMENTED,"S0-03, S0-05, S0-06, S0-07; S1-00, S1-01, S1-02, S1-05, S1-06; cross-cutting controls in S2-S4","V002, V010-V016 and later tenant/audit controls",b9f6bcf888c4d22c04a237f0a13c37d4d4d24c36; 47654eb11c69838924da172479a4c4d72a5c2729; plus cross-sprint commits,"PR #2, PR #3, PR #18 and PR #19","OIDC permissions, tenant RLS, least privilege, immutable audit, idempotency, outbox/inbox reliability, correlation IDs, secret/dependency scans and architecture gates.","Formal SoD catalog and conflict engine, JML/access reviews, privileged/break-glass access, encryption/key lifecycle, retention/legal hold, incident controls, control testing, governance administration and full BCP operations are incomplete.","Treat E15 as a continuing cross-release program, not a closed foundation task.",HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E16-01,E16,Migration & Parallel,CORE,Must,R4,Migrate data and complete parallel payroll,Opening balances reconcile; zero-tolerance fields match; differences classified and approved.,Iteration 12,NOT STARTED,None; Flyway schema migrations are not business-data migration,None for product migration,None,None,No source-data migration or parallel-payroll program is evidenced.,"Data inventory, profiling, source-to-target mapping, cleansing, migration zones, crosswalks, opening balances, mock conversions, parallel payroll and sign-off.",Start only after target functional scope and production model are stable.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E17-01,E17,Cutover & Hypercare,CORE,Must,R4,Execute rehearsed cutover and first production payroll,Go/no-go evidence complete; rollback tested; hypercare exit criteria met.,Iteration 12,NOT STARTED,None,None,None,None,No production cutover or hypercare capability is evidenced.,"Cutover rehearsals, go/no-go, rollback, first production payroll, command centre, hypercare exit, BAU handover and legacy retirement.",Plan after migration/parallel acceptance is complete.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E18-01,E18,Performance & Resilience,CORE,Must,R2-R4,Scale payroll and recover from failures,100k+ employees supported; resumable partitions; DR objectives demonstrated.,"Cross-cutting Iterations 4, 5, 11 and 12",PARTIALLY IMPLEMENTED,"S0-06, S0-07, S0-08; S1-00 and cross-sprint CI/reliability controls",Cross-cutting,Repository/CI baseline and b9f6bcf888c4d22c04a237f0a13c37d4d4d24c36,Baseline plus PR #2-#19,"Automated CI, Testcontainers, idempotency/outbox/inbox foundations, architecture tests, deterministic execution rules and local Compose environment.","100k+ employee performance evidence, partitioned/resumable workers, capacity model, production observability/SLOs, DR RTO/RPO, failover and resilience exercises.",Create measurable NFR and resilience acceptance program before production transition.,MEDIUM-HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E01-02,E01,Foundation,API & EVENT,Must,R1,"Configure legal entities, PSUs, establishments and registrations - API and event contract","Versioned API, idempotency, correlation IDs and domain event are implemented and tested.",Iteration 1,PARTIALLY IMPLEMENTED,"S1-00, S1-01, S1-02, S1-03, S1-04, S1-05, S1-06",V014-V016 (plus foundational V001-V013),b9f6bcf888c4d22c04a237f0a13c37d4d4d24c36; 47654eb11c69838924da172479a4c4d72a5c2729; da5dad33d7d228e1e7ee1467fb198ec21d0934ca,PR #2; merge 27947e1202ff018c3494a32584487ff3879876ab,"Tenant context and RLS; legal entities, payroll statutory units and establishments; effective-dated identity/version hierarchy; lifecycle APIs/UI; audit, idempotency and outbox foundations.","The full original API/event contract is not evidenced. Current APIs/events cover only the implemented subset. Enterprise group, work locations and jurisdiction resolution, generic statutory-registration framework and metadata, and the complete original foundation control scope are not evidenced.",Complete remaining Iteration 1 foundation before treating E01 as closed.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E01-03,E01,Foundation,SECURITY & AUDIT,Must,R1,"Configure legal entities, PSUs, establishments and registrations - security and audit","Role scope, maker-checker, masking and audit evidence are verified.",Iteration 1,PARTIALLY IMPLEMENTED,"S1-00, S1-01, S1-02, S1-03, S1-04, S1-05, S1-06",V014-V016 (plus foundational V001-V013),b9f6bcf888c4d22c04a237f0a13c37d4d4d24c36; 47654eb11c69838924da172479a4c4d72a5c2729; da5dad33d7d228e1e7ee1467fb198ec21d0934ca,PR #2; merge 27947e1202ff018c3494a32584487ff3879876ab,"Tenant context and RLS; legal entities, payroll statutory units and establishments; effective-dated identity/version hierarchy; lifecycle APIs/UI; audit, idempotency and outbox foundations.","Security/audit controls are evidenced only for the implemented subset; the complete epic's roles, maker-checker and audit requirements remain open. Enterprise group, work locations and jurisdiction resolution, generic statutory-registration framework and metadata, and the complete original foundation control scope are not evidenced.",Complete remaining Iteration 1 foundation before treating E01 as closed.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E01-04,E01,Foundation,AUTOMATED TESTS,Must,R1,"Configure legal entities, PSUs, establishments and registrations - automated tests","Unit, integration, regression and negative test cases pass in CI/CD.",Iteration 1,PARTIALLY IMPLEMENTED,"S1-00, S1-01, S1-02, S1-03, S1-04, S1-05, S1-06",V014-V016 (plus foundational V001-V013),b9f6bcf888c4d22c04a237f0a13c37d4d4d24c36; 47654eb11c69838924da172479a4c4d72a5c2729; da5dad33d7d228e1e7ee1467fb198ec21d0934ca,PR #2; merge 27947e1202ff018c3494a32584487ff3879876ab,"Tenant context and RLS; legal entities, payroll statutory units and establishments; effective-dated identity/version hierarchy; lifecycle APIs/UI; audit, idempotency and outbox foundations.","Automated tests exist only for the implemented subset; the complete original epic cannot be considered tested until its missing functionality exists. Enterprise group, work locations and jurisdiction resolution, generic statutory-registration framework and metadata, and the complete original foundation control scope are not evidenced.",Complete remaining Iteration 1 foundation before treating E01 as closed.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E02-02,E02,Calendar & Pay Groups,API & EVENT,Must,R1,"Create payroll calendars, pay periods and pay groups - API and event contract","Versioned API, idempotency, correlation IDs and domain event are implemented and tested.",Iteration 1,PARTIALLY IMPLEMENTED,"S2-01, S2-02; population execution contributes through S3-01",V017-V018,Inherited Sprint 2 range through 24f2ed4893a90627eb6be69aa3747eba4343e195,PR #3; merge 84530e1fe975dbe5f2a45feb3ceabd44d8b4fbb9,"Stable pay-group identities and versions, monthly calendars, contiguous period generation, INR assignment, starter proration policy and later population resolution.","The full original API/event contract is not evidenced. Current APIs/events cover only the implemented subset. The original design's complete calendar frequencies, deadlines, cut-off controls and broader population-routing rules are not evidenced.",Reconcile the full Iteration 1 calendar/pay-group rule set before expansion.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E02-03,E02,Calendar & Pay Groups,SECURITY & AUDIT,Must,R1,"Create payroll calendars, pay periods and pay groups - security and audit","Role scope, maker-checker, masking and audit evidence are verified.",Iteration 1,PARTIALLY IMPLEMENTED,"S2-01, S2-02; population execution contributes through S3-01",V017-V018,Inherited Sprint 2 range through 24f2ed4893a90627eb6be69aa3747eba4343e195,PR #3; merge 84530e1fe975dbe5f2a45feb3ceabd44d8b4fbb9,"Stable pay-group identities and versions, monthly calendars, contiguous period generation, INR assignment, starter proration policy and later population resolution.","Security/audit controls are evidenced only for the implemented subset; the complete epic's roles, maker-checker and audit requirements remain open. The original design's complete calendar frequencies, deadlines, cut-off controls and broader population-routing rules are not evidenced.",Reconcile the full Iteration 1 calendar/pay-group rule set before expansion.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E02-04,E02,Calendar & Pay Groups,AUTOMATED TESTS,Must,R1,"Create payroll calendars, pay periods and pay groups - automated tests","Unit, integration, regression and negative test cases pass in CI/CD.",Iteration 1,PARTIALLY IMPLEMENTED,"S2-01, S2-02; population execution contributes through S3-01",V017-V018,Inherited Sprint 2 range through 24f2ed4893a90627eb6be69aa3747eba4343e195,PR #3; merge 84530e1fe975dbe5f2a45feb3ceabd44d8b4fbb9,"Stable pay-group identities and versions, monthly calendars, contiguous period generation, INR assignment, starter proration policy and later population resolution.","Automated tests exist only for the implemented subset; the complete original epic cannot be considered tested until its missing functionality exists. The original design's complete calendar frequencies, deadlines, cut-off controls and broader population-routing rules are not evidenced.",Reconcile the full Iteration 1 calendar/pay-group rule set before expansion.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E03-02,E03,Component Catalogue,API & EVENT,Must,R1,Create versioned pay components and named bases - API and event contract,"Versioned API, idempotency, correlation IDs and domain event are implemented and tested.",Iteration 2,PARTIALLY IMPLEMENTED,S2-03,V019,Inherited Sprint 2 range through 24f2ed4893a90627eb6be69aa3747eba4343e195,PR #3; merge 84530e1fe975dbe5f2a45feb3ceabd44d8b4fbb9,"Versioned BASIC, HRA and SPECIAL_ALLOWANCE components with approval lifecycle and fixed-component calculation use.","The full original API/event contract is not evidenced. Current APIs/events cover only the implemented subset. Named bases and the broader catalogue of earnings, deductions, employer contributions, provisions, reimbursements, benefits, perquisites, notional and accrual components are not implemented.",Design a general component/base model without breaking the starter slice.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E03-03,E03,Component Catalogue,SECURITY & AUDIT,Must,R1,Create versioned pay components and named bases - security and audit,"Role scope, maker-checker, masking and audit evidence are verified.",Iteration 2,PARTIALLY IMPLEMENTED,S2-03,V019,Inherited Sprint 2 range through 24f2ed4893a90627eb6be69aa3747eba4343e195,PR #3; merge 84530e1fe975dbe5f2a45feb3ceabd44d8b4fbb9,"Versioned BASIC, HRA and SPECIAL_ALLOWANCE components with approval lifecycle and fixed-component calculation use.","Security/audit controls are evidenced only for the implemented subset; the complete epic's roles, maker-checker and audit requirements remain open. Named bases and the broader catalogue of earnings, deductions, employer contributions, provisions, reimbursements, benefits, perquisites, notional and accrual components are not implemented.",Design a general component/base model without breaking the starter slice.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E03-04,E03,Component Catalogue,AUTOMATED TESTS,Must,R1,Create versioned pay components and named bases - automated tests,"Unit, integration, regression and negative test cases pass in CI/CD.",Iteration 2,PARTIALLY IMPLEMENTED,S2-03,V019,Inherited Sprint 2 range through 24f2ed4893a90627eb6be69aa3747eba4343e195,PR #3; merge 84530e1fe975dbe5f2a45feb3ceabd44d8b4fbb9,"Versioned BASIC, HRA and SPECIAL_ALLOWANCE components with approval lifecycle and fixed-component calculation use.","Automated tests exist only for the implemented subset; the complete original epic cannot be considered tested until its missing functionality exists. Named bases and the broader catalogue of earnings, deductions, employer contributions, provisions, reimbursements, benefits, perquisites, notional and accrual components are not implemented.",Design a general component/base model without breaking the starter slice.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E04-02,E04,Salary Structures,API & EVENT,Must,R1,"Build salary structures, CTC policies and simulations - API and event contract","Versioned API, idempotency, correlation IDs and domain event are implemented and tested.",Iteration 2,PARTIALLY IMPLEMENTED,S2-04,V020,Inherited Sprint 2 entry head 24f2ed4893a90627eb6be69aa3747eba4343e195,PR #3; merge 84530e1fe975dbe5f2a45feb3ceabd44d8b4fbb9,"Stable salary-structure identity/version model, immutable component lines and starter BASIC-HRA-SPECIAL dependency validation.","The full original API/event contract is not evidenced. Current APIs/events cover only the implemented subset. CTC policies, eligibility, simulations, minimum-wage/statutory validation, benefits/perquisites and the general structure-design model are not evidenced.",Complete the original compensation-design scope before broad payroll adoption.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E04-03,E04,Salary Structures,SECURITY & AUDIT,Must,R1,"Build salary structures, CTC policies and simulations - security and audit","Role scope, maker-checker, masking and audit evidence are verified.",Iteration 2,PARTIALLY IMPLEMENTED,S2-04,V020,Inherited Sprint 2 entry head 24f2ed4893a90627eb6be69aa3747eba4343e195,PR #3; merge 84530e1fe975dbe5f2a45feb3ceabd44d8b4fbb9,"Stable salary-structure identity/version model, immutable component lines and starter BASIC-HRA-SPECIAL dependency validation.","Security/audit controls are evidenced only for the implemented subset; the complete epic's roles, maker-checker and audit requirements remain open. CTC policies, eligibility, simulations, minimum-wage/statutory validation, benefits/perquisites and the general structure-design model are not evidenced.",Complete the original compensation-design scope before broad payroll adoption.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E04-04,E04,Salary Structures,AUTOMATED TESTS,Must,R1,"Build salary structures, CTC policies and simulations - automated tests","Unit, integration, regression and negative test cases pass in CI/CD.",Iteration 2,PARTIALLY IMPLEMENTED,S2-04,V020,Inherited Sprint 2 entry head 24f2ed4893a90627eb6be69aa3747eba4343e195,PR #3; merge 84530e1fe975dbe5f2a45feb3ceabd44d8b4fbb9,"Stable salary-structure identity/version model, immutable component lines and starter BASIC-HRA-SPECIAL dependency validation.","Automated tests exist only for the implemented subset; the complete original epic cannot be considered tested until its missing functionality exists. CTC policies, eligibility, simulations, minimum-wage/statutory validation, benefits/perquisites and the general structure-design model are not evidenced.",Complete the original compensation-design scope before broad payroll adoption.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E05-02,E05,Employee Payroll Profile,API & EVENT,Must,R1,"Create payroll relationships, assignments and readiness - API and event contract","Versioned API, idempotency, correlation IDs and domain event are implemented and tested.",Iteration 3,PARTIALLY IMPLEMENTED,"S2-05, S2-06; generic statutory profile contribution from S4-02",V021-V022; V028 for generic statutory profiles,adf3769b945d56828aa984e634e6e1bbb62582d7; 1575cbc373bf4dc22ff116b1ea4bbfb7e5a19288; 63c9b1a719765fce3868eb7fc69fac37bc196dc9; 12536c3f629cf567022f3fd50998397d1d0b5911; e98f70b0346a13e463f8e768ab4014be0e30ca0f,PR #3; merge 84530e1fe975dbe5f2a45feb3ceabd44d8b4fbb9,"Payroll relationships, assignments, employee payroll profiles, pay-group and salary assignments, readiness lifecycle and tenant-safe lineage.","The full original API/event contract is not evidenced. Current APIs/events cover only the implemented subset. Bank profile, employee identifiers, India-specific statutory memberships, tax profile/declarations, full multidimensional readiness, multi-assignment and compensation-change workflows are not complete.",Complete payroll onboarding data and readiness dimensions.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E05-03,E05,Employee Payroll Profile,SECURITY & AUDIT,Must,R1,"Create payroll relationships, assignments and readiness - security and audit","Role scope, maker-checker, masking and audit evidence are verified.",Iteration 3,PARTIALLY IMPLEMENTED,"S2-05, S2-06; generic statutory profile contribution from S4-02",V021-V022; V028 for generic statutory profiles,adf3769b945d56828aa984e634e6e1bbb62582d7; 1575cbc373bf4dc22ff116b1ea4bbfb7e5a19288; 63c9b1a719765fce3868eb7fc69fac37bc196dc9; 12536c3f629cf567022f3fd50998397d1d0b5911; e98f70b0346a13e463f8e768ab4014be0e30ca0f,PR #3; merge 84530e1fe975dbe5f2a45feb3ceabd44d8b4fbb9,"Payroll relationships, assignments, employee payroll profiles, pay-group and salary assignments, readiness lifecycle and tenant-safe lineage.","Security/audit controls are evidenced only for the implemented subset; the complete epic's roles, maker-checker and audit requirements remain open. Bank profile, employee identifiers, India-specific statutory memberships, tax profile/declarations, full multidimensional readiness, multi-assignment and compensation-change workflows are not complete.",Complete payroll onboarding data and readiness dimensions.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E05-04,E05,Employee Payroll Profile,AUTOMATED TESTS,Must,R1,"Create payroll relationships, assignments and readiness - automated tests","Unit, integration, regression and negative test cases pass in CI/CD.",Iteration 3,PARTIALLY IMPLEMENTED,"S2-05, S2-06; generic statutory profile contribution from S4-02",V021-V022; V028 for generic statutory profiles,adf3769b945d56828aa984e634e6e1bbb62582d7; 1575cbc373bf4dc22ff116b1ea4bbfb7e5a19288; 63c9b1a719765fce3868eb7fc69fac37bc196dc9; 12536c3f629cf567022f3fd50998397d1d0b5911; e98f70b0346a13e463f8e768ab4014be0e30ca0f,PR #3; merge 84530e1fe975dbe5f2a45feb3ceabd44d8b4fbb9,"Payroll relationships, assignments, employee payroll profiles, pay-group and salary assignments, readiness lifecycle and tenant-safe lineage.","Automated tests exist only for the implemented subset; the complete original epic cannot be considered tested until its missing functionality exists. Bank profile, employee identifiers, India-specific statutory memberships, tax profile/declarations, full multidimensional readiness, multi-assignment and compensation-change workflows are not complete.",Complete payroll onboarding data and readiness dimensions.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
E06-02,E06,Calculation Engine,API & EVENT,Must,R2,Compile and execute deterministic calculation plans - API and event contract,"Versioned API, idempotency, correlation IDs and domain event are implemented and tested.",Iteration 4,PARTIALLY IMPLEMENTED,"S3-03, S3-04, S3-05",V025-V026,c9ada6bad94071d70a6d10fbcfec085d476a6279; f7eb7fa1fc152b8da4088b881f03bff18558d140; db644298ab3197a6931cd9c6b8d9875ef30d28c5,PR #18; merge 73c356662b1888194a72c7006a66bd91443550ca,"Deterministic fixed-component starter calculation, immutable input and configuration lineage, calendar-day proration, persisted results, component trace and controlled recalculation.","The full original API/event contract is not evidenced. Current APIs/events cover only the implemented subset. The general formula engine, named bases, full dependency compiler, rounding/cap/gross-up policies, additional run types, simulations, parallel calculation and full failure-isolation model are not complete.",Evolve the starter calculator into the approved general calculation engine.,HIGH,18d5ca3554ff217140b7e3c443d086d63bd02070
