Detailed Story ID,Epic,Capability,Feature Group,Story Type,Source Control Row,Original Release,Proposed Wave,Priority,Baseline Evidence Status,Reconciled Evidence Status,Reconciliation Confidence,Reconciliation Basis,User Story,Acceptance Criteria Summary,Remaining Scope Context,Legal/Domain Revalidation,Dependency Epics
PLN-E01-011,E01,Foundation,Apply maker-checker approval to foundation configuration,Business / Workflow,E01-01,R1,P5,Must,PARTIALLY EVIDENCED,IMPLEMENTED,HIGH,"P5-A1/P5-JRF-01 plus P5-FBA-01 backend PR #44 and P5-FAD-01 product PR #55 / a80e7b4da121665a8b1548acada6b96fac4dfa01: existing domain maker/checker lifecycles are combined with reusable security-owned LE/PSU-scoped application approval authority, effective-dated bounded delegation, endpoint-permission conjunction, service-account final-approval denial and immutable consumed authority/delegation evidence. End-to-end UI reconciliation 2026-08-13: backend/domain evidence remains valid; required UI/browser completion is partial at web baseline 8e8b47c829ac33aa2495ef07fba0ae2afd51e770. P5-E2E-UI-01 G05: UI PR #15 / 2a42f3909a2ee249ca26be8fb0e14e945f8903a9; local and hosted browser evidence closes the required operator/admin UI boundary.","As a Payroll Foundation Approver, I need to apply maker-checker approval to foundation configuration, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","The maker cannot approve the same high-risk change; approval records preserve before/after values, reason, evidence and effective date. Source-derived checks: Creator cannot be final approver. / Approver must have scope over the relevant legal entity or PSU. / Approval delegation must have start and end dates.",No material gap remains for the bounded generic Foundation maker-checker/application approver story. Legal authorised-signatory authority remains separate from application access; E02 calendar/pay-group approval workflows remain separately scoped and should reuse the shared authority. End-to-end UI reconciliation 2026-08-13: complete the required operator/admin UI surface and real-backend browser E2E before restoring IMPLEMENTED.,NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,NONE
PLN-E01-012,E01,Foundation,Expose foundation readiness and validation status,Business / Workflow,E01-01,R1,P5,Must,NOT EVIDENCED,IMPLEMENTED,HIGH,"P5-FSR-01 G02 / backend PR #49 merge 954ed05d11dcb367f6de6e1f3e78aafc17c8beab, UTC runtime hardening PR #51 merge 74bbd65449adad7b7058d8afd96097b1e08d2a0a and web PR #13 merge 8e8b47c829ac33aa2495ef07fba0ae2afd51e770: cycle-bound FOUNDATION_ONLY readiness composes exact configuration-snapshot, employer-bank, signatory-authority and caller-declared full-period registration checks; blockers/warnings, dimensions, findings and exclusions are exposed and browser-verified against exact merged backend main.","As a Payroll Operations Lead, I need to expose foundation readiness and validation status, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","The dashboard identifies missing, expired, conflicting and unapproved foundation data and distinguishes warnings from payroll-blocking conditions. Source-derived checks: A PSU or pay group cannot be marked payroll-ready until required configuration is complete. / Required incorporation identity / TAN available when required","No material gap remains for the bounded generic foundation-readiness story. Country-specific legal-obligation inference/rates remain excluded; registration obligations are caller-declared and an empty list is not a legal conclusion. Employee banks, payment execution, retro/off-cycle/final settlement, accounting, migration/cutover and production readiness remain separate stories.",NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,NONE
PLN-E02-001,E02,Calendar & Pay Groups,Configure versioned pay groups,Business / Workflow,E02-01,R1,P5,Must,PARTIALLY EVIDENCED,IMPLEMENTED,HIGH,"P5-A4 product PR #58 / 6ce57213c8d77e76d8addee55a92f0349229a314: V017/V038 preserve versioned pay-group identity and effective dating, with PSU/currency/frequency compatibility and governed assignment/cycle use. End-to-end UI reconciliation 2026-08-13: backend/domain evidence remains valid; required UI/browser completion is partial at web baseline 8e8b47c829ac33aa2495ef07fba0ae2afd51e770. P5-E2E-UI-01 G05: UI PR #15 / 2a42f3909a2ee249ca26be8fb0e14e945f8903a9; local and hosted browser evidence closes the required operator/admin UI boundary.","As a Payroll Foundation Administrator, I need to configure versioned pay groups, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","A pay group has one active version per effective period, a compatible PSU, currency, frequency and population rule, with no overlapping regular versions. Source-derived checks: A pay group should not directly define salary-component eligibility. That will be handled through salary structures and eligibility rules in Iteration 2. / An employment assignment can have only one active regular pay group at a given time. / Employees cannot be assigned to a pay group whose PSU differs from their legal employer unless an approved cross-employer arrangement exists.",No material P5-A4 gap remains for versioned pay-group configuration. Salary-component eligibility remains salary-structure owned; later calculation/payment scope remains excluded. End-to-end UI reconciliation 2026-08-13: complete the required operator/admin UI surface and real-backend browser E2E before restoring IMPLEMENTED.,NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,E01
PLN-E02-002,E02,Calendar & Pay Groups,Define pay-group population routing rules,Business / Workflow,E02-01,R1,P5,Must,PARTIALLY EVIDENCED,IMPLEMENTED,HIGH,"P5-A4 product PR #58 / 6ce57213c8d77e76d8addee55a92f0349229a314: V038 adds effective-dated pay-group routing rules, establishment-before-PSU precedence, approved explicit assignment override and overlap-safe deterministic resolution. End-to-end UI reconciliation 2026-08-13: backend/domain evidence remains valid; required UI/browser completion is missing at web baseline 8e8b47c829ac33aa2495ef07fba0ae2afd51e770. P5-E2E-UI-01 G05: UI PR #15 / 2a42f3909a2ee249ca26be8fb0e14e945f8903a9; Explicit employee pay-group assignment cutover is browser-proven, but no population-routing-rule authoring/inspection surface exists; establishment/PSU rule administration remains an end-to-end gap. B02-G04 final reconciliation: UI PR #16 / 42487de1e99240a99df1ba99742a728671c1636e: ranked PSU/establishment routing creation, governed end-dating, deterministic resolution and bounded readiness checkpoints are delivered and browser-proven.","As a Payroll Operations Administrator, I need to define pay-group population routing rules, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","Population rules resolve eligible employees consistently from organisation, employment, worker category and frequency; overrides require approval and reason. Source-derived checks: A pay group should not directly define salary-component eligibility. That will be handled through salary structures and eligibility rules in Iteration 2. / An employment assignment can have only one active regular pay group at a given time. / Employees cannot be assigned to a pay group whose PSU differs from their legal employer unless an approved cross-employer arrangement exists.","No remaining scope blocks this bounded E02 story. Country-specific legal/rate packs, payment execution, final settlement and broader workforce-rule engines remain separately governed where applicable.",NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,E01
PLN-E02-003,E02,Calendar & Pay Groups,Configure payroll calendar identities and versions,Business / Workflow,E02-01,R1,P5,Must,PARTIALLY EVIDENCED,IMPLEMENTED,HIGH,"P5-A4 product PR #58 / 6ce57213c8d77e76d8addee55a92f0349229a314: payroll calendars now carry stable series/version/supersession identity, frequency, timezone, working-day conventions, milestone rules and history-preserving lifecycle. End-to-end UI reconciliation 2026-08-13: backend/domain evidence remains valid; required UI/browser completion is partial at web baseline 8e8b47c829ac33aa2495ef07fba0ae2afd51e770. P5-E2E-UI-01 G05: UI PR #15 / 2a42f3909a2ee249ca26be8fb0e14e945f8903a9; Calendar identity and version lineage are visible, but a governed successor cannot be driven end-to-end because publication prerequisites cannot be configured through the current backend contract. B02-G04 final reconciliation: UI PR #16 / 42487de1e99240a99df1ba99742a728671c1636e: calendar identity, version lineage, complete prerequisite configuration and governed successor/lifecycle controls are evidenced across backend integration, UI tests and hosted browser execution.","As a Payroll Calendar Administrator, I need to configure payroll calendar identities and versions, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","Calendar identity is stable; versions define frequency, timezone, working-day conventions and milestone rules without rewriting published periods. Source-derived checks: The system will use four separate calendars.","No remaining scope blocks this bounded E02 story. Country-specific legal/rate packs, payment execution, final settlement and broader workforce-rule engines remain separately governed where applicable.",NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,E01
PLN-E02-004,E02,Calendar & Pay Groups,Generate contiguous pay periods,Business / Workflow,E02-01,R1,P5,Must,PARTIALLY EVIDENCED,IMPLEMENTED,HIGH,"P5-A4 product PR #58 / 6ce57213c8d77e76d8addee55a92f0349229a314: deterministic idempotent generation creates contiguous non-overlapping periods with protected published history and exact operational period evidence. End-to-end UI reconciliation 2026-08-13: backend/domain evidence remains valid; required UI/browser completion is partial at web baseline 8e8b47c829ac33aa2495ef07fba0ae2afd51e770. P5-E2E-UI-01 G05: UI PR #15 / 2a42f3909a2ee249ca26be8fb0e14e945f8903a9; Legacy contiguous July/August 2026 periods are browser-inspected, but governed new-period generation remains blocked by the unavailable five-milestone-rule configuration write contract. B02-G04 final reconciliation: UI PR #16 / 42487de1e99240a99df1ba99742a728671c1636e: complete milestone prerequisites, generation readiness, contiguous period generation contracts and period inspection are evidenced across backend integration, UI tests and hosted browser execution.","As a Payroll Calendar Administrator, I need to generate contiguous pay periods, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","Generated periods are contiguous, non-overlapping, correctly numbered and cover the published range exactly once. Source-derived checks: The movement rule must record: / The calendar engine must support: / Separate final-settlement payment dates","No remaining scope blocks this bounded E02 story. Country-specific legal/rate packs, payment execution, final settlement and broader workforce-rule engines remain separately governed where applicable.",NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,E01
PLN-E02-005,E02,Calendar & Pay Groups,Support multiple payroll frequencies,Business / Workflow,E02-01,R1,P5,Must,NOT EVIDENCED,IMPLEMENTED,HIGH,"P5-A4 product PR #58 / 6ce57213c8d77e76d8addee55a92f0349229a314: MONTHLY, FORTNIGHTLY, WEEKLY, DAILY and explicitly authorised bounded CUSTOM frequencies are implemented and regression-tested. End-to-end UI reconciliation 2026-08-13: backend/domain evidence remains valid; required UI/browser completion is missing at web baseline 8e8b47c829ac33aa2495ef07fba0ae2afd51e770. P5-E2E-UI-01 G05: UI PR #15 / 2a42f3909a2ee249ca26be8fb0e14e945f8903a9; local and hosted browser evidence closes the required operator/admin UI boundary.","As a Payroll Calendar Administrator, I need to support multiple payroll frequencies, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","Monthly, fortnightly, weekly, daily and authorised custom frequencies generate correct period boundaries and compatible pay-group assignments. Source-derived checks: The system will use four separate calendars.",No material P5-A4 gap remains for the bounded frequency set. Unsupported future frequency semantics require separate authority. End-to-end UI reconciliation 2026-08-13: complete the required operator/admin UI surface and real-backend browser E2E before restoring IMPLEMENTED.,NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,E01
PLN-E02-006,E02,Calendar & Pay Groups,"Generate cut-offs, approval dates and payment dates",Business / Workflow,E02-01,R1,P5,Must,NOT EVIDENCED,IMPLEMENTED,HIGH,"P5-A4 product PR #58 / 6ce57213c8d77e76d8addee55a92f0349229a314: INPUT_CUTOFF, CALCULATION, APPROVAL, RELEASE and PAYMENT milestones are configured and generated with ordered original/adjusted date evidence. End-to-end UI reconciliation 2026-08-13: backend/domain evidence remains valid; required UI/browser completion is missing at web baseline 8e8b47c829ac33aa2495ef07fba0ae2afd51e770. P5-E2E-UI-01 G05: UI PR #15 / 2a42f3909a2ee249ca26be8fb0e14e945f8903a9; The UI exposes 0/5 readiness blockers and read-only generated-milestone evidence, but no milestone-rule write contract exists for configuring the five required rules. B02-G04 final reconciliation: UI PR #16 / 42487de1e99240a99df1ba99742a728671c1636e: operators configure and inspect all five milestone rules with version evidence; generated milestone contracts and operational evidence are green across backend, UI and hosted browser gates.","As a Payroll Calendar Administrator, I need to generate cut-offs, approval dates and payment dates, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","Each period stores generated input, calculation, approval, release and payment milestones using configured working-day offsets. Source-derived checks: The movement rule must record: / The calendar engine must support: / Separate final-settlement payment dates","No remaining scope blocks this bounded E02 story. Country-specific legal/rate packs, payment execution, final settlement and broader workforce-rule engines remain separately governed where applicable.",NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,E01
PLN-E02-007,E02,Calendar & Pay Groups,Apply holiday and weekend adjustment policies,Business / Workflow,E02-01,R1,P5,Must,NOT EVIDENCED,IMPLEMENTED,HIGH,"P5-A4 product PR #58 / 6ce57213c8d77e76d8addee55a92f0349229a314: weekend/holiday working-day rules deterministically adjust milestones while preserving calculated/original and adjusted dates plus movement evidence. End-to-end UI reconciliation 2026-08-13: backend/domain evidence remains valid; required UI/browser completion is missing at web baseline 8e8b47c829ac33aa2495ef07fba0ae2afd51e770. P5-E2E-UI-01 G05: UI PR #15 / 2a42f3909a2ee249ca26be8fb0e14e945f8903a9; The UI exposes read-only original/adjusted working-day evidence and a bounded default weekend policy, but no holiday/working-day configuration write contract exists. B02-G04 final reconciliation: UI PR #16 / 42487de1e99240a99df1ba99742a728671c1636e: holiday creation/repeat correction, weekend and adjustment policies, version evidence and original/adjusted operational dates are evidenced across backend, UI and hosted browser gates.","As a Payroll Calendar Administrator, I need to apply holiday and weekend adjustment policies, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","Milestones adjust only under the configured holiday/weekend rule, preserve the original calculated date and record the applied adjustment. Source-derived checks: The movement rule must record: / The calendar engine must support: / Separate final-settlement payment dates","No remaining scope blocks this bounded E02 story. Country-specific legal/rate packs, payment execution, final settlement and broader workforce-rule engines remain separately governed where applicable.",NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,E01
PLN-E02-008,E02,Calendar & Pay Groups,"Publish, amend and retire payroll calendars",Business / Workflow,E02-01,R1,P5,Must,PARTIALLY EVIDENCED,IMPLEMENTED,HIGH,"P5-A4 product PR #58 / 6ce57213c8d77e76d8addee55a92f0349229a314: append-only publish/amend/retire lifecycle, immutable published schedule history, versioned successors, retirement reason contract and HTTP lifecycle evidence are implemented. End-to-end UI reconciliation 2026-08-13: backend/domain evidence remains valid; required UI/browser completion is missing at web baseline 8e8b47c829ac33aa2495ef07fba0ae2afd51e770. P5-E2E-UI-01 G05: UI PR #15 / 2a42f3909a2ee249ca26be8fb0e14e945f8903a9; Publish/amend/retire controls and backend lifecycle contracts exist, but the complete operator journey cannot pass publication prerequisites until milestone configuration writes exist. B02-G04 final reconciliation: UI PR #16 / 42487de1e99240a99df1ba99742a728671c1636e: publication prerequisites can now be completed; publish/amend/retire controls, immutable lineage and lifecycle contracts are evidenced across integration, UI and hosted browser gates.","As a Payroll Calendar Approver, I need to publish, amend and retire payroll calendars, so that the payroll capability operates with controlled, reproducible and auditable outcomes.",Draft calendars are validated before publication; published periods are immutable; changes create a new version and impact assessment. Source-derived checks: Periods cannot overlap within the same regular calendar. / Period start must be before period end. / Payment date cannot precede the allowed business process unless configured as an advance-pay scenario.,"No remaining scope blocks this bounded E02 story. Country-specific legal/rate packs, payment execution, final settlement and broader workforce-rule engines remain separately governed where applicable.",NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,E01
PLN-E02-009,E02,Calendar & Pay Groups,Validate pay-group and calendar compatibility,Business / Workflow,E02-01,R1,P5,Must,PARTIALLY EVIDENCED,IMPLEMENTED,HIGH,"P5-A4 product PR #58 / 6ce57213c8d77e76d8addee55a92f0349229a314: assignment and cycle initiation fail closed on pay-group/calendar compatibility, including PSU, coverage, frequency/custom authorization, timezone and governed publication state. End-to-end UI reconciliation 2026-08-13: backend/domain evidence remains valid; required UI/browser completion is missing at web baseline 8e8b47c829ac33aa2495ef07fba0ae2afd51e770. P5-E2E-UI-01 G05: UI PR #15 / 2a42f3909a2ee249ca26be8fb0e14e945f8903a9; Calendar readiness blockers are proactive, but no complete proactive pay-group/calendar compatibility surface covers the full PSU/frequency/timezone/coverage/routing acceptance boundary. B02-G04 final reconciliation: UI PR #16 / 42487de1e99240a99df1ba99742a728671c1636e: proactive calendar and bounded routing compatibility exposes PSU, frequency, timezone, coverage, checkpoints and blocking findings before payroll use.","As a Payroll Operations Lead, I need to validate pay-group and calendar compatibility, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","Currency, frequency, PSU, timezone and period coverage conflicts are detected before employee assignment or payroll-cycle initiation. Source-derived checks: A PSU or pay group cannot be marked payroll-ready until required configuration is complete. / Required incorporation identity / TAN available when required","No remaining scope blocks this bounded E02 story. Country-specific legal/rate packs, payment execution, final settlement and broader workforce-rule engines remain separately governed where applicable.",NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,E01
PLN-E02-010,E02,Calendar & Pay Groups,Provide calendar and pay-group operational views,Business / Workflow,E02-01,R1,P5,Must,NOT EVIDENCED,IMPLEMENTED,HIGH,"P5-A4 product PR #58 / 6ce57213c8d77e76d8addee55a92f0349229a314: tenant-safe calendar/period operational views and APIs expose lifecycle, publication-required state, generated periods and original/adjusted milestone evidence; lifecycle HTTP integration is green. End-to-end UI reconciliation 2026-08-13: backend/domain evidence remains valid; required UI/browser completion is partial at web baseline 8e8b47c829ac33aa2495ef07fba0ae2afd51e770. P5-E2E-UI-01 G05: UI PR #15 / 2a42f3909a2ee249ca26be8fb0e14e945f8903a9; Operational visibility is materially improved, but complete consolidated population-routing, generated-milestone and lifecycle visibility remains dependent on the unresolved E02-002/006/007/008 boundaries. B02-G04 final reconciliation: UI PR #16 / 42487de1e99240a99df1ba99742a728671c1636e: consolidated pay-group, routing, calendar, period, milestone, readiness, lifecycle and blocker visibility is delivered and covered by the combined hosted browser suite.","As a Payroll Operations Lead, I need to provide calendar and pay-group operational views, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","Users can view period timelines, generated deadlines, population rules, publication state and blocking validation issues. Source-derived checks: The wizard must show completion percentages and blocking issues. / Selecting an item should show: / Each approval card must show:","No remaining scope blocks this bounded E02 story. Country-specific legal/rate packs, payment execution, final settlement and broader workforce-rule engines remain separately governed where applicable.",NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,E01
PLN-E03-001,E03,Component Catalogue,Maintain stable pay-component identities and immutable versions,Business / Workflow,E03-01,R1,P5,Must,PARTIALLY EVIDENCED,IMPLEMENTED,HIGH,P5-A2/PR #30/V032: stable pay-component identity and immutable version lifecycle.,"As a Payroll Configuration Administrator, I need to maintain stable pay-component identities and immutable versions, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","Component codes remain stable; approved versions are immutable, effective-dated and traceable to ownership, category and approval. Source-derived checks: The component code remains stable across versions. / Separate employee and employer statutory components.","Named bases and the broader catalogue of earnings, deductions, employer contributions, provisions, reimbursements, benefits, perquisites, notional and accrual components are not implemented.",NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,E01
PLN-E03-002,E03,Component Catalogue,Support the complete component category taxonomy,Business / Workflow,E03-01,R1,P5,Must,NOT EVIDENCED,IMPLEMENTED,HIGH,P5-A2/PR #30/V032: complete schema-1 component-category taxonomy.,"As a Payroll Configuration Administrator, I need to support the complete component category taxonomy, so that the payroll capability operates with controlled, reproducible and auditable outcomes.","The catalogue distinguishes cash earnings, deductions, employer contributions, provisions, reimbursements, benefits, perquisites, notional and accrual components. Source-derived checks: Paid to the employee through payroll. / Reduce the employee’s payment. / 6.3 Employer contributions","Named bases and the broader catalogue of earnings, deductions, employer contributions, provisions, reimbursements, benefits, perquisites, notional and accrual components are not implemented.",NO SPECIAL FLAG BEYOND NORMAL DESIGN REVIEW,E01
