Detailed Story ID,Epic,Capability,Story Type,Reconciled Evidence Status,UI Applicability,Required UI Surface,UI Delivery Status,Browser E2E Status,UI Evidence / Closure Note
PLN-E02-004,E02,Calendar & Pay Groups,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,PARTIAL,PARTIAL,"UI PR #15 / 2a42f3909a2ee249ca26be8fb0e14e945f8903a9: Legacy contiguous July/August 2026 periods are browser-inspected, but governed new-period generation remains blocked by the unavailable five-milestone-rule configuration write contract."
PLN-E02-005,E02,Calendar & Pay Groups,Business / Workflow,IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,COMPLETE,COMPLETE,"src/features/payroll-calendar/PayrollCalendarPage.tsx; G05 browser creation proves MONTHLY, FORTNIGHTLY, WEEKLY, DAILY and authorised CUSTOM operation on UI main 2a42f3909a2ee249ca26be8fb0e14e945f8903a9."
PLN-E02-006,E02,Calendar & Pay Groups,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,PARTIAL,PARTIAL,"UI PR #15 / 2a42f3909a2ee249ca26be8fb0e14e945f8903a9: The UI exposes 0/5 readiness blockers and read-only generated-milestone evidence, but no milestone-rule write contract exists for configuring the five required rules."
PLN-E02-007,E02,Calendar & Pay Groups,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,PARTIAL,PARTIAL,"UI PR #15 / 2a42f3909a2ee249ca26be8fb0e14e945f8903a9: The UI exposes read-only original/adjusted working-day evidence and a bounded default weekend policy, but no holiday/working-day configuration write contract exists."
PLN-E02-008,E02,Calendar & Pay Groups,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,PARTIAL,PARTIAL,"UI PR #15 / 2a42f3909a2ee249ca26be8fb0e14e945f8903a9: Publish/amend/retire controls and backend lifecycle contracts exist, but the complete operator journey cannot pass publication prerequisites until milestone configuration writes exist."
PLN-E02-009,E02,Calendar & Pay Groups,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_OPERATIONAL_UI,React operational visibility / control surface,PARTIAL,PARTIAL,"UI PR #15 / 2a42f3909a2ee249ca26be8fb0e14e945f8903a9: Calendar readiness blockers are proactive, but no complete proactive pay-group/calendar compatibility surface covers the full PSU/frequency/timezone/coverage/routing acceptance boundary."
PLN-E02-010,E02,Calendar & Pay Groups,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_OPERATIONAL_UI,React operational visibility / control surface,PARTIAL,PARTIAL,"UI PR #15 / 2a42f3909a2ee249ca26be8fb0e14e945f8903a9: Operational visibility is materially improved, but complete consolidated population-routing, generated-milestone and lifecycle visibility remains dependent on the unresolved E02-002/006/007/008 boundaries."
PLN-E03-001,E03,Component Catalogue,Business / Workflow,IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,COMPLETE,COMPLETE,src/features/pay-component/PayComponentPage.tsx
PLN-E03-002,E03,Component Catalogue,Business / Workflow,IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,COMPLETE,COMPLETE,src/features/pay-component/PayComponentPage.tsx
PLN-E03-003,E03,Component Catalogue,Business / Workflow,IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,COMPLETE,COMPLETE,src/features/pay-component/PayComponentPage.tsx
PLN-E03-004,E03,Component Catalogue,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E03-005,E03,Component Catalogue,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E03-006,E03,Component Catalogue,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E03-007,E03,Component Catalogue,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E03-008,E03,Component Catalogue,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E03-009,E03,Component Catalogue,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E03-010,E03,Component Catalogue,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E03-011,E03,Component Catalogue,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E03-012,E03,Component Catalogue,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E04-001,E04,Salary Structures,Business / Workflow,IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,COMPLETE,COMPLETE,src/features/salary-structure/SalaryStructurePage.tsx
PLN-E04-002,E04,Salary Structures,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E04-003,E04,Salary Structures,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E04-004,E04,Salary Structures,Business / Workflow,IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,COMPLETE,COMPLETE,src/features/salary-structure/CtcPolicyPanel.tsx
PLN-E04-005,E04,Salary Structures,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E04-006,E04,Salary Structures,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E04-007,E04,Salary Structures,Business / Workflow,IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,COMPLETE,COMPLETE,src/features/salary-structure/EligibilityRulePanel.tsx
PLN-E04-008,E04,Salary Structures,Business / Workflow,IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,COMPLETE,COMPLETE,src/features/salary-structure/SalaryStructureSimulationPanel.tsx
PLN-E04-009,E04,Salary Structures,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E04-010,E04,Salary Structures,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E04-011,E04,Salary Structures,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E05-001,E05,Employee Payroll Profile,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E05-002,E05,Employee Payroll Profile,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E05-003,E05,Employee Payroll Profile,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E05-004,E05,Employee Payroll Profile,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E05-005,E05,Employee Payroll Profile,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E05-006,E05,Employee Payroll Profile,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E05-007,E05,Employee Payroll Profile,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E05-008,E05,Employee Payroll Profile,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E05-009,E05,Employee Payroll Profile,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E05-010,E05,Employee Payroll Profile,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E05-011,E05,Employee Payroll Profile,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E05-012,E05,Employee Payroll Profile,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E05-013,E05,Employee Payroll Profile,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E05-014,E05,Employee Payroll Profile,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E05-015,E05,Employee Payroll Profile,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E05-016,E05,Employee Payroll Profile,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E05-017,E05,Employee Payroll Profile,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E05-018,E05,Employee Payroll Profile,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E05-019,E05,Employee Payroll Profile,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E05-020,E05,Employee Payroll Profile,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E06-001,E06,Calculation Engine,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E06-002,E06,Calculation Engine,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E06-003,E06,Calculation Engine,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E06-004,E06,Calculation Engine,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E06-005,E06,Calculation Engine,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E06-006,E06,Calculation Engine,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E06-007,E06,Calculation Engine,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E06-008,E06,Calculation Engine,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E06-009,E06,Calculation Engine,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E06-010,E06,Calculation Engine,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E06-011,E06,Calculation Engine,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E06-012,E06,Calculation Engine,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E06-013,E06,Calculation Engine,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E06-014,E06,Calculation Engine,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E06-015,E06,Calculation Engine,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E06-016,E06,Calculation Engine,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E06-017,E06,Calculation Engine,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E06-018,E06,Calculation Engine,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E06-019,E06,Calculation Engine,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E06-020,E06,Calculation Engine,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E07-001,E07,Balances & Retro,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E07-002,E07,Balances & Retro,Business / Workflow,PARTIALLY IMPLEMENTED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E07-003,E07,Balances & Retro,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E07-004,E07,Balances & Retro,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E07-005,E07,Balances & Retro,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E07-006,E07,Balances & Retro,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E07-007,E07,Balances & Retro,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E07-008,E07,Balances & Retro,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E07-009,E07,Balances & Retro,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E07-010,E07,Balances & Retro,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E07-011,E07,Balances & Retro,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E07-012,E07,Balances & Retro,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
PLN-E07-013,E07,Balances & Retro,Business / Workflow,NOT EVIDENCED,REQUIRED_PRODUCT_UI,React product workflow / workbench,TO_BE_EVIDENCED_WITH_STORY,NOT_COMPLETE,UI applicability classified now; exact UI evidence must be declared during capability activation and proven before IMPLEMENTED.
